Date,Time,Operator,Flight_No,AC_Type,Registration,cn_ln,Ground,Decade,City,Country,US_State,Total_abroad,Passengers_abroad,Crew_abroad,Total_fatalities,Passengers_fatalities,Crew_fatalities,Source,Destination,Total_survivors,Passengers_survivors,Crew_survivors,Survival_rate,Type,Month,Day_of_week,Continent
2012-03-15,07:15:00,Jet One Express,?,Convair CV-340,N153JR,117,0,2010,Near San Juan,Puerto Rico,,2,0,2,2,0,2,San Juan,Saint Croix,0,0,0,0.0,Passenger,March,Thursday,North America
2012-01-30,08:45:00,TRACEP Congo Aviation,?,Antonov AN-28,9Q-CUN,1AJ006-11,0,2010,Namoya,Congo,,5,3,3,3,1,2,Bukavu,Namoya,2,2,1,40.0,Passenger,January,Monday,Africa
2011-12-26,05:54:00,?,?,Bell 206B,N5016M,2636,0,2010,Green Grove,United States of America,Florida,3,2,1,3,2,1,"Jacksonville, FL","Gainsville, FL",0,0,0,0.0,Passenger,December,Monday,North America
2011-12-07,16:45:00,Sundance Helicopters Inc.,?,Aerospatiale AS-350 B2 Ecureuil,N37SH,2300,0,2010,Near Henderson,United States of America,Nevada,5,4,1,5,4,1,,Sightseeing,0,0,0,0.0,Passenger,December,Wednesday,North America
2011-11-11,08:55:00,Fuerza Aerea Mexicana,?,Aerospatiale AS 332L1 Super Puma,XC-UHM,2127,0,2010,Near Santa Catarina Atoyzingo,Mexico,,8,7,1,8,7,1,Campo Militar Marte,"Ciudad de Cuernavaca, Morelos",0,0,0,0.0,Passenger,November,Friday,North America
2011-11-10,12:14:00,Blue Hawaiian Helicopter,?,Eurocopter EC-130 B4,N11QV,4909,0,2010,"Near Kilohana,  Molokai",United States of America,Hawaii,5,4,1,5,4,1,,Sightseeing,0,0,0,0.0,Passenger,November,Thursday,North America
2011-10-27,04:12:00,Northern Thunderbird Air Inc.,?,Beechcraft 100 King Air,C-GXRX,B-36,0,2010,"Vancouver,  BC",Canada,,9,7,2,1,0,1,Vancouver,Kelowna,8,7,1,88.88888888888889,Passenger,October,Thursday,North America
2011-10-13,17:00:00,Airline PNG,1600,de Havilland Canada DHC-8-102,P2-MCJ,125,0,2010,Near Madang,New Guinea,,32,28,4,28,26,2,Lae,Madang,4,2,2,12.5,Passenger,October,Thursday,
2011-09-29,07:38:00,Nusantara Buana Air,?,CASA NC-212 Aviocar 200,PK-TLF,?,0,2010,Near Bohorok,Indonesia,,18,14,4,18,14,4,Medan,Kutacane,0,0,0,0.0,Passenger,September,Thursday,Asia
2011-09-25,07:31:00,Buddha Air,?,Beechcraft 1900D,9N-AEK,UE-295,0,2010,Near Kathmandu,Nepal,,19,16,3,19,16,3,,Sightseeing,0,0,0,0.0,Passenger,September,Sunday,Asia
2011-09-22,13:15:00,Arctic Sunwest Charters,?,De Havilland Canada DHC-6-300 Twin Otter,C-GARW,367,0,2010,"Yellowknife,  Northwest Territories",Canada,,9,7,2,2,0,2,Thor Lake,Great Slave Lake,7,7,0,77.77777777777779,Passenger,September,Thursday,North America
2011-09-16,16:25:00,Private - Aero Trans Corp,?,North American P-51D-15-NA Mustang,N79111,109-35934,10,2010,Reno,United States of America,Nevada,1,0,1,1,0,1,,Air race,0,0,0,0.0,Passenger,September,Friday,North America
2011-09-14,12:00:00,Military - FANA Forca Aerea Nacional Angolana,?,Embraer 120ER Brasilia,T-500,120357,0,2010,Huambo,Angola,,36,34,2,30,30,0,Huambo,Luanda,6,4,2,16.666666666666664,Military,September,Wednesday,Africa
2011-09-07,15:50:00,YAK Service,9633,Yakovlev 42D,RA-42434,4520424305017,0,2010,Yaroslavl,Russia,,45,37,8,44,37,7,Yaroslavl,Minsk,1,0,1,2.2222222222222223,Passenger,September,Wednesday,Europe
