Date,Time,Operator,Flight_No,AC_Type,Registration,cn_ln,Ground,Decade,City,Country,US_State,Total_abroad,Passengers_abroad,Crew_abroad,Total_fatalities,Passengers_fatalities,Crew_fatalities,Source,Destination,Total_survivors,Passengers_survivors,Crew_survivors,Survival_rate,Type,Month,Day_of_week,Continent
1991-08-16,01:55:00,Indian Airlines,257,Boeing B-737-2A8,VT-EFL,21497,0,1990,Imphal,India,,69,63,6,69,63,6,Calcutta,Imphal,0,0,0,0.0,Passenger,August,Friday,Asia
1991-08-14,23:53:00,Tarom,?,Ilyushin IL-18V,YR-IMH,185008301,0,1990,Near Uricani,Romania,,9,4,5,9,4,5,Bucharest,Timisoara,0,0,0,0.0,Passenger,August,Wednesday,Europe
1991-08-06,,Avalki Air,?,Britten-Norman BN-2A-6 Islander,DQ-FCN,0676,0,1990,Rarotonga,Cook Islands,,10,8,2,6,5,1,Altukaki,Rarotonga,4,3,1,40.0,Passenger,August,Tuesday,Oceania
1991-07-25,,Vanair,?,Britten-Norman BN-2A-6 Islander,YJ-RV4,0220,0,1990,Espiritu Santos,Vanuatu,,9,8,1,9,8,1,Nogougou,Luganville,0,0,0,0.0,Passenger,July,Thursday,Oceania
1991-07-11,08:40:00,Nationair (chartered by Nigeria Airways),2120,McDonnell Douglas DC-8 Super 61,C-GMXQ,45982/345,0,1990,Jeddah,Saudi Arabia,,261,247,14,261,247,14,Jeddah,Sokoto,0,0,0,0.0,Passenger,July,Thursday,Asia
1991-07-10,18:12:00,L'Express Airlines,508,Beechcraft BE-99-C99,N7217L,U226,0,1990,Birmingham,United States of America,Alabama,15,13,2,13,12,1,New Orleans - Mobile,Birmingham,2,1,1,13.333333333333334,Passenger,July,Wednesday,North America
1991-07-09,,Aerochasqui,?,CASA 212 Aviocar 200,OB-1218,232,0,1990,Bellavista Airport,Peru,,15,13,2,15,13,2,Bellvista,Pucallpa,0,0,0,0.0,Passenger,July,Tuesday,South America
1991-07-04,09:10:00,Helicol Colombia,?,de Havilland Canada DHC-6 Twin Otter 300,HK-2889X,606,0,1990,El Yopal,Colombia,,3,1,2,3,1,2,,?,0,0,0,0.0,Passenger,July,Thursday,South America
1991-06-26,02:00:00,Okada Air,?,BAC One-Eleven 402AP,5N-AOW,094,0,1990,Near Sokotu,Nigeria,,53,48,5,4,4,0,Benin,Kano,49,44,5,92.45283018867924,Passenger,June,Wednesday,Africa
1991-06-20,03:45:00,Aerosucre Colombia,?,Douglas DC-6BF,HK-3511,45132/801,0,1990,Near Malambo,Colombia,,18,15,3,2,2,0,Bogota,Malambo,16,13,3,88.88888888888889,Passenger,June,Thursday,South America
1991-06-10,15:40:00,Carib Air Transport,?,Lockheed L-382B Hercules,J6-SLQ,3099,0,1990,Luanda,Angola,,7,4,3,7,4,3,Luanda,Cafunfo,0,0,0,0.0,Passenger,June,Monday,Africa
1991-06-01,10:16:00,Agape Flight Inc.,90,GAF Nomad N24A,N8071L,44,0,1990,Off Matthewtown,Bahamas,,3,2,1,2,2,0,"Grada Zuma, Bahamas",Cape Hatien,1,0,1,33.33333333333333,Passenger,June,Saturday,North America
1991-05-26,23:17:00,Lauda Air,004,Boeing B-767-3Z9ER,OE-LAV,24628/283,0,1990,Near Ban Nong Rong,Thailand,,223,213,10,223,213,10,Bangkok,"Wien, Austria",0,0,0,0.0,Passenger,May,Sunday,Asia
1991-05-24,,Metro Cargo,?,Ilyushin 76TD,LZ-INK,0093494835,0,1990,Bakhtaran,Iran,,10,0,10,4,0,4,Cologne,Bakhtaran,6,0,6,60.0,Passenger,May,Friday,Asia
1991-05-23,13:06:00,Aeroflot,?,Tupolev TU-154B-1,CCCP-85097,97,0,1990,Leningrad,Russia,,181,174,7,13,13,0,Sukhumi,St. Petersburg,168,161,7,92.81767955801105,Passenger,May,Thursday,Europe
1991-05-15,09:20:00,ADES Colombia,?,Douglas C-47B,HK-3177,26775,0,1990,La Poyatta,Colombia,,14,11,3,13,11,2,Villavicencio,Miraflores Guaviarel,1,0,1,7.142857142857142,Passenger,May,Wednesday,South America
1991-05-13,13:19:00,Air Taxi - Air Grand Canyon Inc.,?,Cessna 207A,N6280H,20700463,0,1990,Grand Canyon,United States of America,Arizona,7,6,1,7,6,1,,Local sightseeing,0,0,0,0.0,Passenger,May,Monday,North America
1991-05-09,02:37:00,Merpati Nusantara Airlines,7533,Fokker F-27 Friendship 600,PK-MFD,10399,0,1990,Sulawesi,Indonesia,,13,8,5,13,8,5,Ambon - Ternate,Manado,0,0,0,0.0,Passenger,May,Thursday,Asia
1991-04-19,11:56:00,Air Tahiti,?,Dornier Do-228-212,F-OHAB,8196,0,1990,Off Nuka Hiva,French Polynesia,,22,19,3,11,10,1,Hiva Ou,Nuku Hiva,11,9,2,50.0,Passenger,April,Friday,Oceania
1991-04-05,14:51:00,Atlantic Southeast Airlines,2311,Embraer 120RT- Brasilia,N270AS,120-218,0,1990,Brunswick,United States of America,Georgia,23,20,3,23,20,3,Atlanta,Brunswick,0,0,0,0.0,Passenger,April,Friday,North America
1991-04-04,12:10:00,Private,?,Piper Aerostar 601 / Bell 412SP,N3645D / N78S,6108448162153/0151,2,1990,Marion,United States of America,Pennsylvania,5,4,1,5,4,1,"Williamsport, PA","Philadelphia, PA",0,0,0,0.0,Passenger,April,Thursday,North America
1991-03-25,08:15:00,Military - Indian Air Force,?,Hindustan Aeronautics 748-2,H1513,551,0,1990,Near Bangalore,India,,28,25,3,28,25,3,Yellahanka,Yellahanka,0,0,0,0.0,Military,March,Monday,Asia
1991-03-23,11:37:00,Aeroflot,?,Antonov AN-24B,CCCP-46472,27307910,0,1990,Navoi,Uzbekistan,,63,59,4,34,30,4,Trashkent,Navoi,29,29,0,46.03174603174603,Passenger,March,Saturday,Asia
1991-03-21,02:15:00,Military - U.S. Navy / Military - U.S. Navy,?,Lockheed P-3C / Lockheed P-3C,158930/159325,185-5602 /185-5615,0,1990,Off San Diego,United States of America,California,27,,,27,,,,?,0,,,0.0,Military,March,Thursday,North America
1991-03-16,,Transafrik,?,Lockheed L-100-30 Hercules,CP-1564,4833,0,1990,Malanje,Angola,,9,6,3,9,6,3,Luanda,Dundo,0,0,0,0.0,Passenger,March,Saturday,Africa
1991-03-05,16:15:00,Linea Aeropostal Venezolana,108,McDonnell Douglas DC-9-32,YV-23C,47720/846,0,1990,La Puerta,Venezuela,,45,40,5,45,40,5,Maracaibo,Santa Barbara de Zulia,0,0,0,0.0,Passenger,March,Tuesday,South America
1991-03-03,09:44:00,United Air Lines,585,Boeing B-737-291,N999UA,22742/875,0,1990,Near Colorado Springs,United States of America,Colorado,25,20,5,25,20,5,Denver,Colorado Springs,0,0,0,0.0,Passenger,March,Sunday,North America
1991-02-22,,Fuerza Area Angolaise,?,Antonov AN-26,?,?,0,1990,Cazombo,Angola,,47,43,4,47,43,4,Luena,Cazombo,0,0,0,0.0,Passenger,February,Friday,Africa
1991-02-20,15:24:00,LAN,?,British Aerospace BAE-146-200A,CC-CET,E-2061,0,1990,Puerto Williams,Chile,,72,65,7,20,20,0,Punta Arenas,Puerto Williams,52,45,7,72.22222222222221,Passenger,February,Wednesday,South America
1991-02-17,00:20:00,Ryan International Airlines,590,McDonnell Douglas DC-9-15RC,N565PC,47240/346,0,1990,Cleveland,United States of America,Ohio,2,0,2,2,0,2,Cleveland,Indianapolis,0,0,0,0.0,Passenger,February,Sunday,North America
1991-02-14,,Military - Ecuadorean Air Force,?,de Havilland Canada DHC-6 Twin Otter 300,FAE447,832,0,1990,Near Taisha,Ecuador,,22,19,3,22,19,3,Macao,Taisha,0,0,0,0.0,Military,February,Thursday,South America
1991-02-05,12:51:00,Military - Hellenic Air Force,?,Lockheed C-130H,748,4724,0,1990,Near Nea Ankhialos,Greece,,63,59,4,63,59,4,Elefsis AB - Volos,Néa Anchialos,0,0,0,0.0,Military,February,Tuesday,Europe
1991-02-01,18:07:00,USAir / Skywest Airlines,1493/5569,Boeing B-737-300 / Swearingen SA-227AC,N388US/N683AV,23310/1145 / AC-683,0,1990,"LAX,  Los Angeles",United States of America,California,101,93,8,34,30,4,Columbus - Los Angeles \ Los Angeles,Fresno,67,63,4,66.33663366336634,Passenger,February,Friday,North America
1991-01-31,,Lockheed AC-130H Hercules,?,Military - U.S. Air Force,69-6567,4341,0,1990,Near Ras Al Khafji,Saudi Arabia,,14,0,14,14,0,14,,?,0,0,0,0.0,Passenger,January,Thursday,Asia
1991-01-30,13:00:00,Merpati Nusantara Airlines,?,CASA 212 Aviocar 200,PK-NCY,258/78N,0,1990,Jalaludin,Indonesia,,21,18,3,1,1,0,Manado,Gorontalo,20,17,3,95.23809523809523,Passenger,January,Wednesday,Asia
1991-01-10,18:00:00,Military - Venezuelan Navy,?,CASA 212 Aviocar 200,ARV-0209,264,0,1990,Near Paramo Mucuti,Venezuela,,22,19,3,21,18,3,Caracas,Merida,1,1,0,4.545454545454546,Military,January,Thursday,South America
1990-12-06,,Pelita Air Service,?,IPTN 332C Super Puma,PK-PUI,NSP4/2022,0,1990,Near Matak,Indonesia,,12,,,10,,,,?,2,,,16.666666666666664,Passenger,December,Thursday,Asia
1990-12-04,,Sudania Air Cargo,?,Boeing B-707-320F,ST-SAC,19377/666,0,1990,Nairobi,Kenya,,10,7,3,10,7,3,Khartoum,Nairobi,0,0,0,0.0,Passenger,December,Tuesday,Africa
1990-12-03,13:45:00,Northwest Airlines/ Northwest Airlines,299/1482,Boeing B-727-251 / MD Douglas DC-9-14,N278US/N3313L,21157 / 45708/77,0,1990,Romulus,United States of America,Michigan,198,186,12,8,7,1,Detroit,Pittsburg,190,179,11,95.95959595959596,Passenger,December,Monday,North America
1990-11-25,,Eitos,?,Aerospatiale 330J Puma,I-EHPA,1133,0,1990,Off Ravenna,Italy,,13,12,1,13,12,1,,?,0,0,0,0.0,Passenger,November,Sunday,Europe
1990-11-21,11:15:00,Bangkok Airways,125,de Havilland Canada DHC-8-103,OB-1358,T210-63675,0,1990,Koh Samui,Thailand,,38,33,5,38,33,5,Bangkok,Koh Samui,0,0,0,0.0,Passenger,November,Wednesday,Asia
1990-11-19,14:00:00,Aeroflot,?,Mil Mi-8T,CCCP-22389,7270,0,1990,"Near Ashkhabad,  Turkmenistan",Russia,,15,13,2,15,13,2,,?,0,0,0,0.0,Passenger,November,Monday,Europe
1990-11-18,,SATENA,?,CASA 212 Aviocar 200,FAC-1150,303,0,1990,Near Medellin,Colombia,,16,12,4,16,12,4,Quibdó,Bogotá,0,0,0,0.0,Passenger,November,Sunday,South America
1990-11-14,19:11:00,Alitalia,404,McDonnell Douglas DC-9-32,I-ATJA,47641/746,0,1990,Stadelberg,Switzerland,,46,40,6,46,40,6,Milano,Zürich,0,0,0,0.0,Passenger,November,Wednesday,Europe
1990-10-24,01:58:00,Cubana de Aviacion,2886,Yakovlev YAK-40,CU-T1202,9631449,0,1990,Santiago de Cuba,Cuba,,31,24,7,11,9,2,Camaguey,Santiago de Cuba,20,15,5,64.51612903225806,Passenger,October,Wednesday,North America
1990-10-19,15:25:00,BAFIN,?,Douglas C-47B-40-DK,CP-735,15805/33553,0,1990,Near Bella Vista,Bolivia,,4,2,2,4,2,2,Bella Vista,La Paz,0,0,0,0.0,Passenger,October,Friday,South America
1990-10-03,20:08:00,Eastern Air Lines,791,McDonnell Douglas DC-9-31,N8923E,45838/104,0,1990,Cape Canaveral,United States of America,Florida,97,91,6,1,1,0,,?,96,90,6,98.96907216494846,Passenger,October,Wednesday,North America
1990-10-02,09:15:00,China Southern Airlines / Xiamen Airlines,?/8301,Boeing B-737-247 / Boeing B-757-21B,B-2812/B-2510,24758/282 / 23189/1072,0,1990,Guangzhou,China,,226,205,21,128,121,7,Guangzhou,Shanghi,98,84,14,43.36283185840708,Passenger,October,Tuesday,Asia
1990-09-24,07:02:00,HiTech Helicopters,?,Cessna 501 Citation,N79DD,500-0254,0,1990,San Luis Obispo,United States of America,California,4,2,2,4,2,2,"Van Nuys, CA","San Luis Obispo, CA",0,0,0,0.0,Passenger,September,Monday,North America
1990-09-20,19:40:00,SUDENE,?,Embraer 110P1 Bandeirante,PT-FAW,110368,0,1990,Off Fernando de Noronha,Brazil,,12,10,2,12,10,2,Fernando de Noronha,Recife,0,0,0,0.0,Passenger,September,Thursday,South America
1990-09-14,01:53:00,Aeroflot,?,Yakovlev YAK-42,CCCP-42351,1811379,0,1990,Koltsovo,Russia,,128,122,6,4,3,1,Volgograd,Sverdlovsk,124,119,5,96.875,Passenger,September,Friday,Europe
1990-09-12,,Nuna Air,?,Cessna 441 Conquest II,OY-CGM,0229,0,1990,Off Sondre Stromfjord,Greenland,,8,6,2,8,6,2,Sondre Stomfjord,Goose Bay,0,0,0,0.0,Passenger,September,Wednesday,North America
1990-09-11,15:30:00,Faucett,?,Boeing B-727-247,OB-1303,20266/760,0,1990,Off Newfoundland,Canada,,18,15,3,18,15,3,Malta - Miami - Reykjavík,Gander,0,0,0,0.0,Passenger,September,Tuesday,North America
1990-09-03,15:20:00,Frontier Flying Service,?,Piper PA-31-325 Navajo,N59783,317612024,0,1990,Kaltag,United States of America,Alaska,10,9,1,3,3,0,"Nulato, AK","Kaltag, AK",7,6,1,70.0,Passenger,September,Monday,North America
1990-08-29,00:34:00,Military - U.S. Air Force,?,Lockheed C-5A,68-0228,31,0,1990,Near Kaiserslautern,Germany,,17,9,8,13,6,7,Ramstein AB - Rhein,Main AB,4,3,1,23.52941176470588,Military,August,Wednesday,Europe
1990-08-27,01:00:00,Private - Omniflight Helicopters,-,Bell BHT-206-B Helicopter,N16933,023338,0,1990,Elkhorn,United States of America,Wisconsin,5,4,1,5,4,1,"Elkhorn, WI","Chicago, IL",0,0,0,0.0,Passenger,August,Monday,North America
1990-08-10,,Military - Afghan Republican Air Force,?,Antonov AN-12,?,?,0,1990,Near Shindand,Afghanistan,,83,78,5,83,78,5,,?,0,0,0,0.0,Military,August,Friday,Asia
1990-08-01,11:10:00,Aeroflot,?,Yakovlev YAK-40,CCCP-87453,9431036,0,1990,"Stepanakert,  Azerbaijan",Russia,,47,43,4,47,43,4,Yerevan,Zvartnots,0,0,0,0.0,Passenger,August,Wednesday,Europe
1990-07-31,,Servicio Expresso Nacional,?,Beech King Air B90,OB-1362,LJ-0448,0,1990,Near Huanuco,Peru,,9,8,1,9,8,1,,?,0,0,0,0.0,Passenger,July,Tuesday,South America
1990-07-27,,Military - Afghan Republican Air Force,?,Mil Mi-8 (helicopter),?,?,0,1990,Near Maymaneh,Afghanistan,,30,25,5,30,25,5,,?,0,0,0,0.0,Military,July,Friday,Asia
1990-07-05,,Douglas Airways,?,Britten-Norman 2B-21 Islander,P2-DNJ,857,0,1990,Near Port Morseby,New Guinea,,12,11,1,8,7,1,Port Moresby,Woitape,4,4,0,33.33333333333333,Passenger,July,Thursday,
1990-06-10,07:33:00,British Airways,5390,BAC One-Eleven 528FL,G-BJRT,BAC 234,0,1990,Oxfordshire,United Kingdom,,87,81,6,0,0,0,"Birmingham, England","Malaga, Spain",87,81,6,100.0,Passenger,June,Sunday,Europe
1990-06-06,05:29:00,TABA,?,Fairchild FH-227B,PT-ICA,570,0,1990,Near Altamira,Brazil,,42,39,3,23,21,2,Belem,Altamira,19,18,1,45.23809523809524,Passenger,June,Wednesday,South America
1990-05-18,06:25:00,Aerolift Philippines,075,Beechcraft 1900C-1,RP-C314,UC-46,4,1990,Manila,Philippines,,21,19,2,21,19,2,Manila,Surigao City,0,0,0,0.0,Passenger,May,Friday,Asia
1990-05-11,,Philippine Air Lines,?,Boeing B-737-3Y0,EI-BZG,24466,0,1990,Manila,Philippines,,119,113,6,8,8,0,Manila,Iloilo,111,105,6,93.27731092436974,Passenger,May,Friday,Asia
1990-05-10,08:55:00,Avicsa,?,Fairchild F-27,F-GHXA,0101,0,1990,Tuxtla-Gutierrez,Mexico,,40,35,5,20,15,5,Tapachula - Tuxtla,Gutierrez,20,20,0,50.0,Passenger,May,Thursday,North America
1990-05-05,15:00:00,Aerial Transit Company,?,Douglas DC-6BF,N84BL,43739/279,24,1990,Guatamala City ,Guatemala,,3,0,3,3,0,3,Guatamala City,La Aurora,0,0,0,0.0,Passenger,May,Saturday,North America
1990-04-30,21:35:00,Frontier Air,?,Beechcraft C99,C-FGAW,U197,0,1990,"Ship Sands Island,  ON",Canada,,4,2,2,1,0,1,"Timmins, Ontario","Ship Sands Island, Ontario",3,2,1,75.0,Passenger,April,Monday,North America
1990-04-26,06:21:00,MATS - Manila Aero Transport System,?,Douglas DC-3 (C-47A-30-DK),RP-C81,25325,0,1990,Near Manila,Philippines,,24,22,2,7,7,0,Manila,Roxaz City,17,15,2,70.83333333333334,Passenger,April,Thursday,Asia
1990-04-20,,Military - Zairean Air Force,?,Lockheed C-130H,9T-TCG,4589,0,1990,Near Kinshasa,Democratic Republic of the Congo,,24,18,6,20,,,Kinshasa,Gbadolite,4,,,16.666666666666664,Military,April,Friday,Africa
1990-04-18,,Aeroperlas,?,de Havilland Canada DHC-6 Twin Otter 200,N187AS,131,0,1990,Off Contadora,Panama,,22,19,3,20,17,3,Panama City-Contadora,San Miguel,2,2,0,9.090909090909092,Passenger,April,Wednesday,North America
1990-04-12,14:44:00,Wideroe's Flyveselksap,839,de Havilland Canada DHC-6 Twin Otter 300,LN-BNS,536,0,1990,Off Vaeroy,Norway,,5,3,2,5,3,2,Vaeroy,Bodo,0,0,0,0.0,Passenger,April,Thursday,Europe
1990-03-27,11:00:00,Aeroflot,?,Ilyushin IL-76MD,CCCP-78781,83489670,0,1990,Kabul,Afghanistan,,11,2,9,11,2,9,Kokand,Kabul,0,0,0,0.0,Passenger,March,Tuesday,Asia
1990-03-23,,Cubana de Aviacion,?,Antonov AN-26,CU-T1436,07406,0,1990,,Cuba,,46,41,5,4,4,0,Santiago de Cuba,La Havane,42,37,5,91.30434782608695,Passenger,March,Friday,North America
1990-03-21,,TAN Honduras,?,Lockheed L-188CF Electra,HR-TNL,1134,0,1990,Las Mesitas,Honduras,,3,0,3,3,0,3,San Pedro,Tegucigalpa,0,0,0,0.0,Passenger,March,Wednesday,North America
1990-03-12,,Helicsa,?,Sikorsky S-58ET (helilcopter),EC-DDR,58-1617,0,1990,Off Freetown,Sierra Leone,,13,,,11,,,,?,2,,,15.384615384615385,Passenger,March,Monday,Africa
1990-03-01,,Military - Indian Air Force,?,MiG-23,?,?,50,1990,Near Meerut,India,,1,0,1,0,0,0,,?,1,0,1,100.0,Military,March,Thursday,Asia
1990-02-27,19:47:00,Federal Express,?,Cessna 208A Caravan I Cargomaster,N820FE,208-00043,0,1990,Denver,United States of America,Colorado,1,0,1,1,0,1,Aspen,Denver,0,0,0,0.0,Passenger,February,Tuesday,North America
1990-02-17,19:30:00,Military - Zambian Air Force,?,DHC-5 Buffalo,AF316,66,0,1990,Near Ngwerere,Zambia,,29,24,5,29,24,5,M'bala,Likouala,0,0,0,0.0,Military,February,Saturday,Africa
1990-02-14,13:03:00,Indian Airlines,605,Airbus A320-231,VT-EPN,079,0,1990,Near Bangalore,India,,146,139,7,92,87,5,Bombay,Bangalore,54,52,2,36.986301369863014,Passenger,February,Wednesday,Asia
1990-02-12,09:29:00,TAM (Brazil),?,Fokker 27 Friendship 200,PT-LCG,10206,2,1990,Bauru,Brazil,,40,36,4,2,1,1,San Palo - Bauru,Aracatuba,38,35,3,95.0,Passenger,February,Monday,South America
1990-02-05,08:37:00,Helicopteros Nacionales de Colombia,?,Grumman G-159 Gulfstream I,HK-3315X,024,0,1990,Near Ibague,Colombia,,15,11,4,15,11,4,Bogota via Neiva,Ibague,0,0,0,0.0,Passenger,February,Monday,South America
1990-01-29,20:33:00,Wiggins Airways,?,Cessna 208B Caravan I Super Cargomaster,N854FE,208B-0172,0,1990,Plattsburgh,United States of America,New York,1,0,1,1,0,1,Plattsburgh,Syracuse,0,0,0,0.0,Passenger,January,Monday,North America
1990-01-27,17:35:00,Military - Congolese Air Force,?,Nord 262C-66,TN-230,103,0,1990,Near Kinkala,Congo,,28,23,5,28,23,5,Pointe-Noire,Brazzaville,0,0,0,0.0,Military,January,Saturday,Africa
1990-01-26,,MIAT - Mongolian Airlines,?,Antonov AN-26V,BNMAU-10208,57310208,0,1990,Zavkhan,Mongolia,,30,25,5,30,25,5,Ulan Bator,Uliastaj,0,0,0,0.0,Passenger,January,Friday,Asia
1990-01-25,21:34:00,AVIANCA,052,Boeing B-707-321B,HK 2016,19276/592,0,1990,Cove Neck,United States of America,New York,158,149,9,73,65,8,Medellin,New York City,85,84,1,53.79746835443038,Passenger,January,Thursday,North America
1990-01-23,07:35:00,Military - Venezuelan Navy,-,CASA 212-200 Aviocar,ARV-0210,268,0,1990,Near Caracas,Venezuela,,25,22,3,25,22,3,Caracas,Puerto Ayancucho,0,0,0,0.0,Military,January,Tuesday,South America
1990-01-17,07:19:00,Federal Express,824,Cessna 208A Caravan I Cargomaster,N835FE,208-00091,0,1990,Near Leadville,United States of America,Colorado,1,0,1,1,0,1,Denver,Montrose,0,0,0,0.0,Passenger,January,Wednesday,North America
1990-01-15,08:30:00,SANSA,032,CASA 212 Aviocar 200,TI-SAB,163,0,1990,Pico Blanco,Costa Rica,,23,20,3,23,20,3,San Jose,Palmar Sur,0,0,0,0.0,Passenger,January,Monday,North America
1990-01-13,12:56:00,Aeroflot,?,Tupolev TU-134A,CCCP-65951,2351703,0,1990,Near Pervouralsk,Russia,,71,65,6,27,23,4,Tyumen,Ufa,44,42,2,61.97183098591549,Passenger,January,Saturday,Europe
1990-01-02,13:40:00,Pelita Air Service,?,CASA 212 Aviocar 200,PK-PCM,217/57N,0,1990,Java Sea,Indonesia,,16,13,3,9,7,2,,Palambang and Jakarta,7,6,1,43.75,Passenger,January,Tuesday,Asia
1989-12-30,,Air Fiordland,?,Cessna 207 / Cessna 207,ZK-DAX / ZK-DQF,131/53,0,1980,,New Zealand,,5,4,1,5,4,1,,?,0,0,0,0.0,Passenger,December,Saturday,Oceania
1989-12-28,,Tarom,?,Antonov An-24RV,YR-BMJ,77310801,0,1980,Near Visina,Romania,,7,1,6,7,1,6,Bicharest,Beogard,0,0,0,0.0,Passenger,December,Thursday,Europe
1989-12-26,22:30:00,United Express,2415,British Aerospace 3101 Jetstream 31,N410UE,776,0,1980,Pasco,United States of America,Washington,6,4,2,6,4,2,Yakima,Pasco,0,0,0,0.0,Passenger,December,Tuesday,North America
1989-12-21,14:00:00,Military - Bolivian Air Force,?,Lockheed C-130A,TAM-62,3187,0,1980,Near Guayaramerin,Bolivia,,28,18,10,24,,,Guayaramerin,Santa Cruz,4,,,14.285714285714285,Military,December,Thursday,South America
1989-12-01,09:30:00,Military - U.S. Army,?,CASA 212 Aviocar 200,N296CA,296,0,1980,Patuxent,United States of America,Maryland,5,0,5,5,0,5,Fort Belvoir,Patuxent River NAS,0,0,0,0.0,Military,December,Friday,North America
1989-11-28,18:25:00,New England Airlines,?,Britten-Norman BN-2A Islander,N127JL,69,0,1980,Block Island,United States of America,Rhode Island,8,7,1,8,7,1,"Block Island, RI","Westerly, RI",0,0,0,0.0,Passenger,November,Tuesday,North America
1989-11-27,,Tepper Aviation,?,Lockheed L-100-20 Hercules,N9205T,4129,0,1980,Near Jamba,Angola,,5,0,5,5,0,5,Kamina,Jamba,0,0,0,0.0,Passenger,November,Monday,Africa
1989-11-25,07:48:00,Korean Airlines,?,Fokker F-28 Fellowship 4000,HL-7255,11223,0,1980,Seoul,South Korea,,52,46,6,1,1,0,Seou,Ulsan,51,45,6,98.07692307692307,Passenger,November,Saturday,Asia
1989-11-23,,Military - People's Army/ Military - Peoples Air Force,?,Mil Mi-4 / Mil Mi-4,?,?,0,1980,,Albania,,24,,,24,,,,?,0,,,0.0,Military,November,Thursday,Europe
1989-11-21,17:28:00,Aeroflot,?,Antonov AN-24,CCCP-46335,97305602,0,1980,Near Tyumem,Russia,,42,36,6,34,28,6,Perm,Sovietsky,8,8,0,19.047619047619047,Passenger,November,Tuesday,Europe
1989-11-10,,Military - Royal Lesotho Defence Force,?,Casa 212 Aviocar,LDF-46,389,0,1980,Maluti Mountains,Lesotho,,18,16,2,18,16,2,Qacha?s- Nek,Maseru,0,0,0,0.0,Military,November,Friday,Africa
1989-11-09,,Weasua Air Ttansport,?,Britten-Norman BN-2A Islander,9L-LAV,767,0,1980,Monrovia,Liberia,,10,9,1,2,1,1,Monrovia,Freetown,8,8,0,80.0,Passenger,November,Thursday,Africa
1989-10-28,18:37:00,Aloha Island Air,1712,de Havilland DHC-6 Twin Otter 300,N707PV,400,0,1980,"Halawa Point,  Molokai",United States of America,Hawaii,20,18,2,20,18,2,"Kahului, Maui","Kaunakakai, Molokai",0,0,0,0.0,Passenger,October,Saturday,North America
1989-10-26,18:55:00,China Airlines (Taiwan),204,Boeing B-737-209,B-180,23795/1319,0,1980,Hualien,China,,54,47,7,54,47,7,Hualien,Taipei,0,0,0,0.0,Passenger,October,Thursday,Asia
1989-10-21,07:53:00,TAN,414,Boeing B-727-224,N88705,19514/597,0,1980,Near Tegucigalpa,Honduras,,146,138,8,127,123,4,Managua,Tegucigalpa,19,15,4,13.013698630136986,Passenger,October,Saturday,North America
1989-10-20,02:32:00,Aeroflot,?,Ilyushin IL-76TD,CCCP-76466,23440153,0,1980,Leninakan,Russia,,15,10,5,15,10,5,Ul'yanovsk,Leninakan,0,0,0,0.0,Passenger,October,Friday,Europe
1989-10-18,,Military - Russian Air Force,?,Ilyushin IL-76MD,CCCP-76569,33448421,0,1980,Nasosny,Russia,,57,50,7,57,50,7,,?,0,0,0,0.0,Military,October,Wednesday,Europe
1989-10-10,,TAUSA,?,Cessna 402C Utililiner,OB-T-1254,402C-0638,0,1980,Urpay,Peru,,12,11,1,12,11,1,Urpay,Uchiza,0,0,0,0.0,Passenger,October,Tuesday,South America
1989-10-06,22:05:00,Winchester Air,?,Cessna 208 Caravan I,N208W,208-00115,0,1980,Uncertain,United States of America,Texas,5,3,2,5,3,2,Uncertain,Destsin,0,0,0,0.0,Passenger,October,Friday,North America
1989-10-04,06:00:00,Military - U.S. Air Force,?,Boeing KC-135A,56-3592,17341/31,0,1980,"Perth,  Ontario",Canada,,4,0,4,4,0,4,,?,0,0,0,0.0,Military,October,Wednesday,North America
1989-09-28,20:08:00,MAP,?,Antonov An-32,CCCP-48095,1705,0,1980,Semyonovka ,Ukraine,,9,4,5,9,4,5,Mukachevo,Moscow,0,0,0,0.0,Passenger,September,Thursday,Europe
1989-09-27,09:53:00,Grand Canyon Airlines,Canyon 5,de Havilland Canada DHC-6 Twin Otter 300,N75GC,439,0,1980,"Grand Canyon National Park Airport,  Tusayan",United States of America,Arizona,21,19,2,10,8,2,,Grand Canyon National Park,11,11,0,52.38095238095239,Passenger,September,Wednesday,North America
1989-09-26,08:28:00,Skylink Airlines,070,Swearingen SA.227AC Metro III,C-GSLB,AC-481,0,1980,Terrace,Canada,,7,5,2,7,5,2,Vancouver,Terrace,0,0,0,0.0,Passenger,September,Tuesday,North America
1989-09-23,20:35:00,Vayudoot,?,Dornier Do-288-201,VT-EJF,8052,0,1980,Ujani Dam,India,,11,8,3,11,8,3,Pune,Hyderabad,0,0,0,0.0,Passenger,September,Saturday,Asia
1989-09-21,,Military - Afghan Republican Air Force,?,Mil Mi-17 ( helicopter),?,?,0,1980,Near Baghran,Afghanistan,,24,,,24,,,,?,0,,,0.0,Military,September,Thursday,Asia
1989-09-20,23:21:00,USAir,5050,Boeing B-737-401,N416US,23884/1643,0,1980,"La Guardia Airport,  New York",United States of America,New York,63,57,6,2,2,0,New York City,"Charlotte, NC",61,55,6,96.82539682539682,Passenger,September,Wednesday,North America
